x	y
0.01	1.00047186488944
0.02	1.00098800305051
0.03	1.00157669243619
0.04	1.00200152237367
0.05	1.00250333105358
0.06	1.00308100694744
0.07	1.00351686165236
0.08	1.00392902830655
0.09	1.00445573058986
0.1	1.00496538935577
0.11	1.00554582599688
0.12	1.00599999074687
0.13	1.00649892058812
0.14	1.00698116579785
0.15	1.00744449767048
0.16	1.00805688892725
0.17	1.00848886213375
0.18	1.0088623980922
0.19	1.00949003739024
0.2	1.00992708690243
0.21	1.01039260568821
0.22	1.01092937562845
0.23	1.0113839031521
0.24	1.01189283566842
0.25	1.01239196760603
0.26	1.0128333183051
0.27	1.01345141901546
0.28	1.01391091192066
0.29	1.01434027146037
0.3	1.01495092565705
0.31	1.01540270160274
0.32	1.01585948479684
0.33	1.01641011042104
0.34	1.01690108336492
0.35	1.01738987517478
0.36	1.01787467992156
0.37	1.01835916638746
0.38	1.01881981175718
0.39	1.01929848608424
0.4	1.01978524842238
0.41	1.02026003023842
0.42	1.02077382816773
0.43	1.02121176078463
0.44	1.02186931434334
0.45	1.02231149665835
0.46	1.02268650579817
0.47	1.02321049228224
0.48	1.023695918945
0.49	1.02424508615459
0.5	1.02469100859398
0.51	1.02519526523068
0.52	1.02566912078139
0.53	1.02615579370497
0.54	1.02671167336716
0.55	1.02712093879028
0.56	1.02769238931717
0.57	1.02802972949209
0.58	1.0286196874331
0.59	1.02908327429046
0.6	1.02957350109493
0.61	1.03006697061321
0.62	1.03050946994906
0.63	1.03100275424542
0.64	1.03145438215255
0.65	1.03193644226636
0.66	1.03248745893795
0.67	1.03297861593446
0.68	1.03344341907173
0.69	1.03396916140995
0.7	1.03450713311633
0.71	1.03486757456372
0.72	1.03526280871692
0.73	1.03590567806748
0.74	1.03630549546152
0.75	1.03678888841381
0.76	1.03735363166905
0.77	1.03777238482207
0.78	1.03820900026381
0.79	1.03875797486613
0.8	1.03922380210605
0.81	1.03971177564678
0.82	1.04021080942284
0.83	1.04065505043546
0.84	1.04118415165371
0.85	1.04162274905256
0.86	1.04212915619725
0.87	1.04264552169053
0.88	1.04309324518429
0.89	1.04353601128157
0.9	1.04408566734816
0.91	1.04455701155351
0.92	1.04501427726895
0.93	1.04547782050769
0.94	1.04591453254671
0.95	1.04648748929209
0.96	1.04687151744676
0.97	1.04748209211389
0.98	1.04792808010026
0.99	1.0483207667332
1	1.04875991433215
10	0
